date,load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8,load_9,load_10,load_11,load_12,load_13,load_14,load_15,load_16,load_17,load_18,load_19,load_20,load_21,load_22,load_23
2008-11-09 00:00:00-05:00,1.368284,1.298008,1.257238,1.228887,1.212833,1.215636,1.230598,1.277992,1.31062,1.371239,1.421944,1.456827,1.477971,1.491613,1.490636,1.507809,1.537137,1.571052,1.644613,1.661883,1.666348,1.651809,1.580996,1.504064
2008-11-10 00:00:00-05:00,1.421516,1.36864,1.330541,1.318859,1.319814,1.334237,1.445268,1.587078,1.696595,1.744126,1.77063,1.807727,1.819879,1.793476,1.793418,1.786448,1.792142,1.81635,1.907938,1.906807,1.864604,1.825946,1.772309,1.654715
2008-11-11 00:00:00-05:00,1.535963,1.458935,1.416002,1.373137,1.370519,1.390939,1.464273,1.586061,1.664291,1.69753,1.724388,1.746201,1.73204,1.705569,1.694289,1.695612,1.681727,1.725336,1.843696,1.843004,1.814198,1.778113,1.681403,1.576024
2008-11-12 00:00:00-05:00,1.473697,1.394661,1.361,1.342093,1.337567,1.344385,1.442304,1.597315,1.658031,1.720159,1.731063,1.74362,1.734936,1.718564,1.708696,1.717605,1.706841,1.724969,1.814676,1.807812,1.754623,1.711673,1.665915,1.550188
2008-11-13 00:00:00-05:00,1.435133,1.354153,1.332695,1.297546,1.285573,1.312419,1.417382,1.556181,1.646311,1.696251,1.709465,1.7424,1.746268,1.734311,1.732317,1.716577,1.748879,1.759289,1.81716,1.797628,1.770589,1.725138,1.662166,1.547135
2008-11-14 00:00:00-05:00,1.444747,1.353659,1.328557,1.316659,1.301485,1.314554,1.400447,1.556986,1.631033,1.658781,1.684327,1.707601,1.701162,1.722007,1.714251,1.689028,1.69366,1.683184,1.76169,1.738729,1.699585,1.635266,1.586251,1.504334
2008-11-15 00:00:00-05:00,1.414823,1.357486,1.30018,1.271935,1.239734,1.23195,1.274954,1.329266,1.360052,1.440631,1.51126,1.548516,1.566071,1.582352,1.561125,1.543542,1.508885,1.541415,1.642391,1.650059,1.633659,1.622725,1.582349,1.511361
2008-11-16 00:00:00-05:00,1.402331,1.348045,1.301588,1.257148,1.24508,1.24044,1.265788,1.303065,1.332899,1.39055,1.454361,1.503074,1.533944,1.550952,1.564104,1.572928,1.59848,1.640856,1.716877,1.727821,1.703814,1.704719,1.639752,1.552389
2008-11-17 00:00:00-05:00,1.455602,1.408036,1.371428,1.344909,1.345242,1.358812,1.443135,1.609111,1.696689,1.735908,1.749137,1.777829,1.780419,1.787568,1.791226,1.771327,1.787864,1.806376,1.895338,1.899271,1.86501,1.815929,1.760087,1.649058
2008-11-18 00:00:00-05:00,1.544235,1.4728,1.427823,1.395752,1.402514,1.429777,1.514628,1.675362,1.753148,1.773419,1.79071,1.815239,1.807514,1.810175,1.833188,1.815544,1.8279,1.836502,1.940159,1.96086,1.938277,1.894165,1.84073,1.725009
